Date	Latitude(deg) 	Longitude(deg)	hamsl(m)	hafl(m)	climbrate(cm/s)	GroundSpeed(m/s)	Airspeed(m/s)	Mav_Link(%)	Rssi_Link(%)	Throttle	Roll(deg)	Pitch(deg)	Yaw(deg)
11:26:31	-6.79585	38.98528	136.759	0	0	0.7	0	100	0	0	0	0	0	
11:26:33	-6.79585	38.98528	135.548	8.281836	-56.42748	0.47	3	18	0	50	-1.818039	9.334757	-136.4416	
11:26:35	-6.795852	38.98528	134.514	7.365128	-88.43422	0.26	3	8	0	50	-1.95306	7.330048	-124.8055	
11:26:36	-6.795852	38.98528	134.593	7.087118	-69.22531	0.29	3	6	0	50	-2.302482	6.349964	-113.7101	
11:26:38	-6.795851	38.98528	134.344	7.210721	-40.93558	0.26	3	5	0	50	-3.117311	4.972742	-104.0441	
11:26:40	-6.79585	38.98528	133.099	7.330557	-27.90489	0.35	3	5	0	50	-3.16278	3.479968	-95.73882	
11:26:41	-6.795847	38.98528	131.883	7.180895	-26.11558	0.62	3	5	0	50	-3.741318	2.8048	-87.79727	
11:26:43	-6.795847	38.98528	130.878	7.534073	-4.387085	0.29	3	4	0	50	-4.161151	2.253484	-81.11547	
11:26:45	-6.795846	38.98528	130.685	7.784237	3.582313	0.26	3	4	0	50	-7.232827	1.945664	-75.42787	
11:26:46	-6.795844	38.98528	130.396	7.919625	0.7660365	0.25	3	4	0	50	-7.223872	1.709987	-70.87052	
11:26:48	-6.795844	38.98528	129.985	7.774968	-10.29686	1.03	3	4	0	50	-8.210141	1.961087	-66.96821	
11:26:50	-6.795848	38.98528	128.484	8.114647	8.542344	0.22	3	4	0	50	-9.305273	1.802104	-64.17758	
11:26:51	-6.795839	38.98528	129.348	8.313128	-8.368159	0.93	3	4	0	50	1.201857	7.454118	-62.84856	
