Date	Latitude(deg) 	Longitude(deg)	hamsl(m)	hafl(m)	climbrate(cm/s)	GroundSpeed(m/s)	Airspeed(m/s)	Mav_Link(%)	Rssi_Link(%)	Throttle	Roll(deg)	Pitch(deg)	Yaw(deg)
15:30:51	-6.729535	38.94577	139.364	0.385772	0	0.19	3	100	0	5	0.5547571	0.5723515	-63.96239	
15:30:53	-6.729529	38.94578	139.866	0.385772	0	0.04	3	100	0	4	0.6505247	-0.4098169	-73.02569	
15:30:54	-6.729524	38.94578	140.011	0.385772	0	0.09	3	100	0	5	0.6676843	-1.006559	-79.22924	
15:30:56	-6.729521	38.94578	140.181	0.385772	0	0.12	3	100	0	4	0.375187	-1.665778	-83.71383	
15:30:58	-6.729519	38.94578	140.418	0.385772	0	0.13	3	100	0	4	0.2837801	-2.08109	-86.40263	
15:30:59	-6.72952	38.94578	140.85	0.385772	0	0.19	3	100	0	4	0.2903718	-2.423327	-88.21478	
15:31:01	-6.729521	38.94578	141.379	0.385772	0	0.11	3	100	0	5	0.1832401	-2.919043	-89.37656	
15:31:03	-6.729521	38.94578	141.552	0.385772	0	0.01	3	100	0	4	0.3499487	-2.938033	-88.0248	
15:31:05	-6.729522	38.94578	141.675	0.385772	0	0.13	3	100	0	5	1.441383	-2.806465	-85.84574	
15:31:06	-6.729522	38.94578	141.6	0.385772	0	0.06	3	100	0	4	2.763166	-2.809181	-84.83369	
15:31:08	-6.729522	38.94578	141.362	0.385772	0	0.07	3	100	0	4	3.080765	-2.549989	-84.09837	
15:31:10	-6.729523	38.94578	141.057	0.385772	0	0.12	3	100	0	5	3.48649	-2.752895	-83.16263	
15:31:11	-6.729526	38.94578	140.43	0.385772	0	0.04	3	100	0	5	3.975584	-2.551531	-82.19782	
15:31:13	-6.729527	38.94578	139.668	0.385772	0	0.09	3	100	0	4	4.0136	-2.675176	-81.73439	
15:31:15	-6.729528	38.94579	139.274	0.385772	0	0.09	3	100	0	5	3.434807	-2.639169	-81.39764	
15:31:16	-6.729529	38.94579	138.883	0.385772	0	0.09	3	100	0	4	2.517141	-2.533584	-80.83826	
15:31:18	-6.729531	38.94579	138.652	0.385772	0	0.14	3	100	0	4	2.069061	-2.516924	-80.5248	
15:31:20	-6.729531	38.94579	138.236	0.385772	0	0.09	3	100	0	5	1.597259	-2.475084	-80.14174	
15:31:21	-6.729533	38.94579	137.933	0.385772	0	0.12	3	100	0	4	0.9970914	-2.382234	-79.66689	
